dest_id,state,destination,county,mie,seasonal,n_seasons,lodging_min,lodging_max,daily_min,daily_max
178,MI,Detroit,Wayne,74,False,1,152,152,226,226
183,MI,Grand Rapids,Kent,80,False,1,119,119,199,199
184,MI,Holland,Ottawa,74,True,3,116,157,190,231
187,MI,Mackinac Island,Mackinac,86,True,3,120,195,206,281
188,MI,Midland,Midland,74,False,1,120,120,194,194
190,MI,Muskegon,Muskegon,68,True,3,110,149,178,217
192,MI,Petoskey,Emmet,86,True,4,116,220,202,306
193,MI,Pontiac / Auburn Hills ,Oakland,80,False,1,116,116,196,196
195,MI,South Haven,Van Buren,68,True,3,110,142,178,210
196,MI,Traverse City,Grand Traverse,80,True,3,134,235,214,315
199,MN,Duluth,St. Louis,86,True,3,159,220,245,306
201,MN,Minneapolis / St. Paul,Hennepin / Ramsey,92,False,1,148,148,240,240
202,MN,Rochester,Olmsted,80,False,1,127,127,207,207
204,MO,Kansas City,Jackson / Clay / Cass / Platte,80,False,1,135,135,215,215
207,MO,St. Louis,St. Louis / St. Louis City / St. Charles,86,False,1,150,150,236,236
211,MS,Starkville ,Oktibbeha,68,False,1,125,125,193,193
213,MT,Missoula,Missoula,74,True,2,130,195,204,269
215,MT,Big Sky / West Yellowstone/Gardiner,Gallatin/Park,80,True,2,176,310,256,390
216,NC,Asheville ,Buncombe,80,True,2,120,141,200,221
217,NC,Atlantic Beach / Morehead City,Carteret,74,True,3,123,178,197,252
218,NC,Chapel Hill,Orange,80,False,1,140,140,220,220
219,NC,Charlotte,Mecklenburg,80,False,1,131,131,211,211
221,NC,Durham,Durham,74,False,1,121,121,195,195
222,NC,Greensboro,Guilford,74,True,3,112,123,186,197
224,NC,Kill Devil Hills,Dare,74,True,4,133,254,207,328
227,NC,Raleigh,Wake,74,False,1,131,131,205,205
229,NC,Wilmington,New Hanover,74,True,3,110,147,184,221
231,NE,Omaha,Douglas,80,False,1,122,122,202,202
232,NH,Concord,Merrimack,74,False,1,124,124,198,198
233,NH,Conway,Caroll,80,True,4,118,161,198,241
234,NH,Durham,Strafford,74,True,3,125,152,199,226
235,NH,Laconia,Belknap,74,True,3,140,182,214,256
236,NH,Lebanon / Lincoln / West Lebanon,Grafton,74,True,3,142,177,216,251
237,NH,Manchester,Hillsborough,74,False,1,130,130,204,204
238,NH,Portsmouth,Rockingham,74,True,4,129,192,203,266
241,NJ,Cherry Hill / Moorestown,Camden / Burlington,80,False,1,112,112,192,192
242,NJ,Eatontown / Freehold,Monmouth,86,False,1,146,146,232,232
243,NJ,Edison / Piscataway,Middlesex ,80,False,1,122,122,202,202
244,NJ,Flemington,Hunterdon,80,False,1,124,124,204,204
246,NJ,Newark,Essex / Bergen / Hudson / Passaic,86,False,1,156,156,242,242
247,NJ,Parsippany,Morris,80,False,1,143,143,223,223
248,NJ,Somerset,Somerset,80,False,1,138,138,218,218
249,NJ,Princeton / Trenton,Mercer,86,False,1,138,138,224,224
250,NJ,Springfield / Cranford / New Providence,Union,80,False,1,139,139,219,219
251,NJ,Toms River,Ocean,74,True,3,166,213,240,287
252,NM,Albuquerque,Bernalillo,80,False,1,144,144,224,224
254,NM,Santa Fe,Santa Fe,80,True,4,122,167,202,247
255,NV,Incline Village / Reno / Sparks,Washoe,80,True,3,138,184,218,264
256,NV,Las Vegas,Clark,86,True,3,126,159,212,245
258,NY,Albany,Albany,86,False,1,117,117,203,203
260,NY,Buffalo,Erie,80,True,3,126,139,206,219
261,NY,Floral Park / Garden City / Great Neck,Nassau,86,False,1,164,164,250,250
262,NY,Glens Falls,Warren,86,True,3,117,186,203,272
264,NY,Kingston,Ulster,86,False,1,139,139,225,225
265,NY,Lake Placid,Essex,86,True,4,144,238,230,324
266,NY,New York City,Bronx / Kings / New York / Queens / Richmond,92,True,5,179,342,271,434
267,NY,Niagara Falls,Niagara,80,True,3,110,142,190,222
268,NY,Nyack / Palisades,Rockland,80,False,1,129,129,209,209
269,NY,Binghamton,Broome,74,False,1,117,117,191,191
270,NY,Poughkeepsie,Dutchess,80,False,1,115,115,195,195
271,NY,Riverhead / Ronkonkoma / Melville,Suffolk,86,False,1,155,155,241,241
272,NY,Rochester,Monroe,80,False,1,132,132,212,212
273,NY,Saratoga Springs / Schenectady,Saratoga / Schenectady,80,True,3,126,214,206,294
274,NY,Syracuse / Oswego,Onondaga / Oswego,80,False,1,122,122,202,202
275,NY,Tarrytown / White Plains / New Rochelle,Westchester,92,False,1,161,161,253,253
276,NY,Troy ,Rensselaer,80,False,1,121,121,201,201
277,NY,Ithaca,Tompkins,80,False,1,144,144,224,224
278,NY,West Point,Orange,80,False,1,123,123,203,203
280,OH,Sandusky,Erie,68,True,3,116,144,184,212
282,OH,Cincinnati,Hamilton / Clermont,86,False,1,163,163,249,249
283,OH,Cleveland,Cuyahoga,80,False,1,159,159,239,239
284,OH,Columbus,Franklin,80,False,1,131,131,211,211
285,OH,Dayton / Fairborn,Greene / Montgomery,74,False,1,115,115,189,189
287,OH,Hamilton,Butler / Warren,74,False,1,124,124,198,198
295,OK,Oklahoma City,Oklahoma,80,False,1,116,116,196,196
298,OR,Beaverton,Washington,80,False,1,132,132,212,212
299,OR,Bend,Deschutes,86,True,3,125,192,211,278
300,OR,Clackamas,Clackamas,80,False,1,136,136,216,216
302,OR,Eugene / Florence,Lane,80,True,3,132,192,212,272
304,OR,Lincoln City,Lincoln,92,True,3,120,167,212,259
305,OR,Portland,Multnomah,86,False,1,155,155,241,241
306,OR,Seaside,Clatsop,86,True,3,141,236,227,322
307,PA,Allentown / Easton / Bethlehem,Lehigh / Northampton,74,False,1,115,115,189,189
309,PA,Chester / Radnor / Essington,Delaware,80,False,1,127,127,207,207
311,PA,Gettysburg,Adams,68,True,3,110,122,178,190
312,PA,Harrisburg,Dauphin County excluding Hershey,74,False,1,124,124,198,198
313,PA,Bucks,Bucks,80,False,1,119,119,199,199
314,PA,Lancaster,Lancaster,74,False,1,123,123,197,197
315,PA,Malvern / Frazer / Berwyn,Chester,80,False,1,118,118,198,198
317,PA,Philadelphia,Philadelphia,92,True,4,156,218,248,310
318,PA,Pittsburgh,Allegheny,80,False,1,138,138,218,218
319,PA,Reading,Berks,74,False,1,117,117,191,191
321,PA,State College ,Centre,74,False,1,124,124,198,198
323,RI,Jamestown / Middletown / Newport,Newport ,80,True,4,141,268,221,348
