dest_id,state,destination,county,season_begin,season_end,lodging,mie,daily_cap,seasonal
95,FL,Miami,Miami-Dade,April 1,May 31,182,92,274,True
95,FL,Miami,Miami-Dade,June 1,September 30,145,92,237,True
96,FL,Naples,Collier,October 1,November 30,164,80,244,True
96,FL,Naples,Collier,December 1,January 31,257,80,337,True
96,FL,Naples,Collier,February 1,April 30,314,80,394,True
96,FL,Naples,Collier,May 1,September 30,164,80,244,True
98,FL,Orlando,Orange,October 1,December 31,140,80,220,True
98,FL,Orlando,Orange,January 1,March 31,169,80,249,True
98,FL,Orlando,Orange,April 1,September 30,140,80,220,True
100,FL,Panama City,Bay,October 1,February 28,110,80,190,True
100,FL,Panama City,Bay,March 1,May 31,147,80,227,True
100,FL,Panama City,Bay,June 1,July 31,194,80,274,True
100,FL,Panama City,Bay,August 1,September 30,110,80,190,True
101,FL,Pensacola ,Escambia,October 1,February 28,120,74,194,True
101,FL,Pensacola ,Escambia,March 1,May 31,149,74,223,True
101,FL,Pensacola ,Escambia,June 1,July 31,190,74,264,True
101,FL,Pensacola ,Escambia,August 1,September 30,120,74,194,True
102,FL,Punta Gorda,Charlotte,October 1,January 31,124,74,198,True
102,FL,Punta Gorda,Charlotte,February 1,March 31,192,74,266,True
102,FL,Punta Gorda,Charlotte,April 1,September 30,124,74,198,True
103,FL,Sarasota,Sarasota,October 1,January 31,145,86,231,True
103,FL,Sarasota,Sarasota,February 1,April 30,205,86,291,True
103,FL,Sarasota,Sarasota,May 1,September 30,131,86,217,True
104,FL,Sebring,Highlands,October 1,January 31,126,74,200,True
104,FL,Sebring,Highlands,February 1,March 31,219,74,293,True
104,FL,Sebring,Highlands,April 1,September 30,126,74,200,True
105,FL,St. Augustine,St. Johns,October 1,November 30,151,80,231,True
105,FL,St. Augustine,St. Johns,December 1,March 31,170,80,250,True
105,FL,St. Augustine,St. Johns,April 1,September 30,151,80,231,True
106,FL,Stuart,Martin,October 1,January 31,129,80,209,True
106,FL,Stuart,Martin,February 1,March 31,214,80,294,True
106,FL,Stuart,Martin,April 1,September 30,129,80,209,True
107,FL,Tallahassee,Leon,October 1,December 31,113,80,193,True
107,FL,Tallahassee,Leon,January 1,April 30,138,80,218,True
107,FL,Tallahassee,Leon,May 1,September 30,113,80,193,True
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,October 1,January 31,148,80,228,True
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,February 1,April 30,200,80,280,True
108,FL,Tampa / St. Petersburg,Pinellas / Hillsborough,May 1,September 30,148,80,228,True
109,FL,Vero Beach,Indian River,October 1,November 30,181,74,255,True
109,FL,Vero Beach,Indian River,December 1,April 30,259,74,333,True
109,FL,Vero Beach,Indian River,May 1,September 30,181,74,255,True
110,GA,Athens,Clarke,,,136,74,210,False
111,GA,Atlanta,Fulton / Dekalb,October 1,December 31,182,86,268,True
111,GA,Atlanta,Fulton / Dekalb,January 1,March 31,197,86,283,True
111,GA,Atlanta,Fulton / Dekalb,April 1,September 30,182,86,268,True
413,GA,Augusta,Richmond,October 1,April 30,125,74,199,True
413,GA,Augusta,Richmond,May 1,June 30,110,74,184,True
413,GA,Augusta,Richmond,July 1,September 30,125,74,199,True
115,GA,Jekyll Island / Brunswick,Glynn,October 1,February 28,172,86,258,True
115,GA,Jekyll Island / Brunswick,Glynn,March 1,July 31,223,86,309,True
115,GA,Jekyll Island / Brunswick,Glynn,August 1,September 30,172,86,258,True
494,GA,Marietta,Cobb,,,126,74,200,False
116,GA,Savannah,Chatham,October 1,February 28,147,80,227,True
116,GA,Savannah,Chatham,March 1,April 30,176,80,256,True
116,GA,Savannah,Chatham,May 1,September 30,147,80,227,True
476,IA,Dallas,Dallas,,,115,80,195,False
118,IA,Des Moines,Polk,,,121,80,201,False
495,ID,Boise,Ada,October 1,October 31,191,86,277,True
495,ID,Boise,Ada,November 1,May 31,167,86,253,True
495,ID,Boise,Ada,June 1,September 30,191,86,277,True
120,ID,Coeur d'Alene,Kootenai,October 1,May 31,142,74,216,True
120,ID,Coeur d'Alene,Kootenai,June 1,August 31,217,74,291,True
120,ID,Coeur d'Alene,Kootenai,September 1,September 30,142,74,216,True
122,ID,Sun Valley / Ketchum,Blaine / Elmore,October 1,November 30,191,80,271,True
122,ID,Sun Valley / Ketchum,Blaine / Elmore,December 1,March 31,300,80,380,True
122,ID,Sun Valley / Ketchum,Blaine / Elmore,April 1,May 31,181,80,261,True
122,ID,Sun Valley / Ketchum,Blaine / Elmore,June 1,September 30,295,80,375,True
422,IL,Bolingbrook / Romeoville / Lemont,Will,,,114,74,188,False
123,IL,Chicago,Cook / Lake,October 1,November 30,223,92,315,True
123,IL,Chicago,Cook / Lake,December 1,March 31,142,92,234,True
123,IL,Chicago,Cook / Lake,April 1,June 30,234,92,326,True
123,IL,Chicago,Cook / Lake,July 1,August 31,202,92,294,True
123,IL,Chicago,Cook / Lake,September 1,September 30,223,92,315,True
462,IL,East St. Louis / O'Fallon / Fairview Heights,St. Clair,,,150,86,236,False
124,IL,Oak Brook Terrace,DuPage,,,115,80,195,False
127,IN,Bloomington ,Monroe,October 1,April 30,110,74,184,True
127,IN,Bloomington ,Monroe,May 1,August 31,139,74,213,True
127,IN,Bloomington ,Monroe,September 1,September 30,110,74,184,True
130,IN,Indianapolis / Carmel,Marion / Hamilton,,,133,80,213,False
131,IN,Lafayette / West Lafayette,Tippecanoe,October 1,July 31,123,74,197,True
131,IN,Lafayette / West Lafayette,Tippecanoe,August 1,September 30,143,74,217,True
137,KS,Kansas City / Overland Park,Wyandotte / Johnson / Leavenworth,,,135,80,215,False
139,KY,Boone,Boone,,,116,68,184,False
436,KY,Kenton,Kenton,,,163,86,249,False
140,KY,Lexington,Fayette,,,118,80,198,False
141,KY,Louisville,Jefferson,October 1,October 31,164,80,244,True
141,KY,Louisville,Jefferson,November 1,January 31,120,80,200,True
141,KY,Louisville,Jefferson,February 1,May 31,155,80,235,True
141,KY,Louisville,Jefferson,June 1,August 31,134,80,214,True
141,KY,Louisville,Jefferson,September 1,September 30,164,80,244,True
478,LA,Alexandria / Leesville / Natchitoches,Allen / Jefferson Davis / Natchitoches / Rapides / Vernon Parishes,,,112,68,180,False
144,LA,New Orleans,Orleans / Jefferson Parishes,October 1,January 31,157,80,237,True
144,LA,New Orleans,Orleans / Jefferson Parishes,February 1,May 31,179,80,259,True
144,LA,New Orleans,Orleans / Jefferson Parishes,June 1,August 31,133,80,213,True
144,LA,New Orleans,Orleans / Jefferson Parishes,September 1,September 30,157,80,237,True
147,MA,Andover,Essex,,,137,80,217,False
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",October 1,October 31,349,92,441,True
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",November 1,February 28,209,92,301,True
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",March 1,August 31,291,92,383,True
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",September 1,September 30,349,92,441,True
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,October 1,October 31,178,86,264,True
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,November 1,April 30,144,86,230,True
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,May 1,September 30,178,86,264,True
150,MA,Falmouth,City limits of Falmouth,October 1,June 30,142,86,228,True
150,MA,Falmouth,City limits of Falmouth,July 1,August 31,253,86,339,True
150,MA,Falmouth,City limits of Falmouth,September 1,September 30,142,86,228,True
151,MA,Hyannis,Barnstable less the city of Falmouth,October 1,June 30,131,92,223,True
151,MA,Hyannis,Barnstable less the city of Falmouth,July 1,August 31,209,92,301,True
151,MA,Hyannis,Barnstable less the city of Falmouth,September 1,September 30,131,92,223,True
152,MA,Martha's Vineyard,Dukes,October 1,May 31,196,92,288,True
152,MA,Martha's Vineyard,Dukes,June 1,September 30,462,92,554,True
153,MA,Nantucket,Nantucket,October 1,May 31,175,92,267,True
153,MA,Nantucket,Nantucket,June 1,September 30,471,92,563,True
154,MA,Northampton,Hampshire,,,157,80,237,False
155,MA,Pittsfield,Berkshire,October 1,June 30,136,86,222,True
155,MA,Pittsfield,Berkshire,July 1,August 31,178,86,264,True
155,MA,Pittsfield,Berkshire,September 1,September 30,136,86,222,True
156,MA,Plymouth / Taunton / New Bedford,Plymouth / Bristol,,,126,80,206,False
157,MA,Quincy,Norfolk,October 1,October 31,175,80,255,True
157,MA,Quincy,Norfolk,November 1,April 30,139,80,219,True
157,MA,Quincy,Norfolk,May 1,September 30,175,80,255,True
158,MA,Springfield,Hampden,,,128,74,202,False
160,MA,Worcester,Worcester,,,135,80,215,False
161,MD,Aberdeen / Bel Air / Belcamp,Harford,,,113,74,187,False
162,MD,Annapolis,Anne Arundel,October 1,October 31,161,80,241,True
162,MD,Annapolis,Anne Arundel,November 1,April 30,125,80,205,True
162,MD,Annapolis,Anne Arundel,May 1,September 30,161,80,241,True
163,MD,Baltimore City,Baltimore City,,,150,86,236,False
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,October 1,May 31,145,80,225,True
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,June 1,August 31,186,80,266,True
